Name,Code
Irepodun, KW01
Isin, KW01
Kaiama, KW01
Moro, KW01
Offa, KW01
Oke-Ero, KW01
Oyun, KW01
Pategi, KW01
Agege, LA01
Alimosho, LA01
Ifelodun, LA01
Amuwo-Odofin, LA01
Apapa, LA01
Badagry, LA01
Epe, LA01
Eti-Osa, LA01
Ibeju-Lekki, LA01
Ifako-Ijaiye, LA01
Ikeja, LA01
Ikorodu, LA01
Kosofe, LA01
Lagos Island, LA01
Lagos Mainland, LA01
Mushin, LA01
Ojo, LA01
Oshodi-Isolo, LA01
Shomolu, LA01
Surulere, LA01
Akwanga, NA01
Awe, NA01
Doma, NA01
Karu, NA01
Keana, NA01
Keffi, NA01
Kokona, NA01
Lafia, NA01
Nasarawa, NA01
Nassarawa/Eggon, NA01
Obi, NA01
Toto, NA01
Wamba, NA01
Agaie, NI01
Agwara, NI01
Bida, NI01
Borgu, NI01
Bosso, NI01
Chanchaga, NI01
Edati, NI01
Gbako, NI01
Gurara, NI01
Katcha, NI01
Kontagora, NI01
Lapai, NI01
Lavun, NI01
Magama, NI01
Mariga, NI01
Mokwa, NI01
Munya, NI01
Paikoro, NI01
Rafi, NI01
Shiroro, NI01
Suleja, NI01
Wushishi, NI01
Abeokuta South, OG01
Abeokuta North, OG01
Ado-Odo/Ota, OG01
Agbado South, OG01
Agbado North, OG01
Ewekoro, OG01
Idarapo, OG01
Ifo, OG01
Ijebu East, OG01
Ijebu North, OG01
Ikenne, OG01
Ilugun Alaro, OG01
Imeko Afon, OG01
Ipokia, OG01
Obafemi/Owode, OG01
Odeda, OG01
Odogbolu, OG01
Ogun Waterside, OG01
Sagamu, OG01
Akoko North, ON01
Akoko North East, ON01
Akoko South East, ON01
Akoko South, ON01
Akure North, ON01
Akure, ON01
Idanre, ON01
Ifedore, ON01
Ese-Odo, ON01
Ilaje, ON01
Ilaje Oke-Igbo, ON01
Irele, ON01
Odigbo, ON01
Okitipupa, ON01
Ondo, ON01
Ondo East, ON01
Ose, ON01
Owo, ON01
Atakumosa West, OS01
